AutoID_row_number,fbus,tbus,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
289,106,225,1386,1386,1386,0.0,12.271
290,106,2,1469,1571,1706,0.0,11.893
291,107,7,1386,1386,1386,0.0,10.761
292,115,269,68,96,96,100.0,120.87
293,116,279,142,148,148,100.0,80.287
294,130,280,80,113,113,100.0,115.5
295,130,280,80,113,113,100.0,115.69
296,132,283,98,105,105,100.0,128.69
297,133,287,80,113,113,100.0,117.49
298,133,288,80,113,113,100.0,117.49
299,145,286,80,113,113,100.0,130.87
300,148,172,63,71,71,100.0,207.58
301,148,294,34,48,48,100.0,309.64
302,165,272,40,56,56,100.0,292.91
303,165,298,40,56,56,100.0,292.04
304,165,300,63,71,71,100.0,231.42
305,167,297,34,48,48,100.0,349.39
306,172,304,63,71,71,100.0,241.24
307,173,174,274,291,322,100.0,55.318
308,175,176,96,104,104,100.0,168.27
309,180,249,136,162,203,100.0,88.671
310,185,247,171,186,206,100.0,89.806
311,186,247,171,186,206,100.0,90.291
312,190,256,382,400,435,0.0,43.687
313,193,220,1200,1200,1200,0.0,21.19
314,195,258,199,237,297,100.0,67.314
315,208,210,897,941,1021,0.0,20.515
316,209,211,897,941,1021,0.0,20.75
317,212,263,374,381,381,100.0,55.839
318,212,266,374,400,435,0.0,48.926
319,220,221,1204,1279,1416,0.0,25.746
320,223,262,342,364,402,100.0,56.036
321,223,265,382,400,435,100.0,51.375
322,224,264,382,400,435,100.0,52.181
323,269,270,68,96,96,100.0,281.39
324,270,271,63,71,71,100.0,379.09
325,271,272,63,71,71,100.0,380.5
326,273,274,40,56,56,100.0,485.48
327,273,282,142,148,148,100.0,185.44
328,274,275,40,56,56,100.0,487.24
329,275,276,80,113,113,100.0,244.06
330,276,277,142,148,148,100.0,187.21
331,277,278,40,56,56,100.0,492.48
332,278,279,80,113,113,100.0,246.68
333,280,281,126,143,143,100.0,197.47
334,281,282,142,148,148,100.0,190.81
335,283,284,90,128,128,100.0,222.71
336,284,285,80,113,113,100.0,252.31
337,285,286,90,128,128,100.0,224.27
338,287,288,128,159,159,100.0,180.73
339,287,289,53,60,60,100.0,477.54
340,289,290,61,68,68,100.0,421.9
341,290,291,62,77,77,100.0,377.11
342,291,292,62,77,77,100.0,378.41
343,292,293,80,80,80,100.0,365.0
344,294,295,34,48,48,100.0,615.07
345,295,296,34,48,48,100.0,617.16
346,296,297,34,48,48,100.0,619.25
347,298,299,63,71,71,100.0,417.95
348,299,300,75,93,93,100.0,320.13
349,299,301,63,71,71,100.0,419.36
350,301,302,63,71,71,100.0,422.16
351,302,303,63,71,71,100.0,423.57
352,303,304,63,71,71,100.0,424.97
353,8,36,250,250,250,0.0,4.1829
354,8,109,170,170,170,0.0,6.152
355,9,112,126,126,126,0.0,16.438
356,9,112,126,126,126,0.0,16.241
357,9,112,126,126,126,0.0,15.861
358,9,112,120,120,120,0.0,16.298
359,10,80,250,250,250,0.0,6.5266
360,10,80,250,250,250,0.0,6.539
361,10,113,50,50,50,0.0,20.104
362,10,113,63,63,63,0.0,16.027
363,10,113,126,126,126,0.0,8.1614
364,11,117,126,126,126,0.0,8.8624
365,11,117,126,126,126,0.0,8.8741
366,12,121,126,126,126,0.0,9.8165
