index,Life Assessment,Total_Indicator,lat,long
138,0.009,0.009,,
139,0.145,0.145,,
140,0.222,0.222,,
141,0.224,0.224,,
142,0.244,0.244,,
143,0.226,0.226,,
144,0.261,0.261,,
145,0.213,0.213,,
146,0.4,0.4,,
147,0.002,0.002,,
148,0.215,0.215,,
149,0.001,0.001,,
150,0.002,0.002,,
151,0.004,0.004,,
