,Support_ID,EI,LA,MS,action
232,S81W0I6H//D59-12,0.233,0.471,0.0,Keep the current maintenance
233,S82CXD65//D59-13,0.25630000000000003,0.0,0.0,Replacement
234,S83RL7FF//D53,0.031,0.155,0.0,Keep the current maintenance
235,S841T57R//D37,0.114,0.315,0.0,Keep the current maintenance
236,S84734ES//D59-14,0.25630000000000003,0.0,0.0,Replacement
237,S84736GE//D52,0.036,0.068,0.0,Keep the current maintenance
238,S84J2977//D53-1,0.233,0.472,0.0,Keep the current maintenance
239,S84NIXJ3//D38,0.108,0.207,0.0,Keep the current maintenance
240,S84NIXPC//D37-1,0.234,0.474,0.0,Keep the current maintenance
241,S84S1M0G//D37-1-1,0.167,0.467,0.0,Keep the current maintenance
242,S84WIA2F//D39,0.103,0.197,0.0,Keep the current maintenance
243,S8530W8B//D40,0.098,0.286,0.0,Keep the current maintenance
244,S853QBGQ//D53-2,0.25630000000000003,0.0,0.0,Replacement
245,S856Q41I//D51,0.041,0.077,0.0,Keep the current maintenance
246,S859PVF1//D42-2-CT,0.167,0.442,0.0,Keep the current maintenance
247,S85AHD29//D37-1-3CT,0.167,0.442,0.0,Keep the current maintenance
248,S85GGRDN//D59-15,0.25630000000000003,0.0,0.0,Replacement
249,S85IP4H6//D59-16-1CT,0.165,0.342,0.0,Keep the current maintenance
250,S85JGM0G//D50,0.046,0.087,0.0,Keep the current maintenance
251,S85UOAUI//D42-1,0.2574,0.0,0.0,Replacement
252,S860FGKE//D53-3,0.25630000000000003,0.0,0.0,Replacement
253,S8646LTF//D59-16,0.25630000000000003,0.0,0.0,Replacement
254,S865NLKC//D41,0.092,0.177,0.0,Keep the current maintenance
255,S86A6896//D53-4,0.25630000000000003,0.0,0.0,Replacement
256,S86FECA3//D49,0.052,0.097,0.0,Keep the current maintenance
257,S86G5S8R//D42,0.088,0.265,0.0,Keep the current maintenance
258,S86JV1D6//D43,0.082,0.256,0.0,Keep the current maintenance
259,S86ODNJ7//D44,0.078,0.147,0.0,Keep the current maintenance
