Matricula tramo;Tipo Tramo;Tipo de conductor 1;Longitud Real (Km);Resistencia (ohmios);Reactancia (ohmios);Modelo constructivo 1;Impedancia (ohmios);Estructura de red
CDO7031350;AEREO;LA-56;0.2;0.092215337;0.059324197;350120 CABLE AL-ACERO LA 56;0.109649569;RACIMO
CDO7031327;AEREO;LA-56;0.323;0.659991086;0.424587071;350120 CABLE AL-ACERO LA 56;0.784769058;RACIMO
CDO7031358;AEREO;LA-56;0.1;0.015185277;0.00976903;350120 CABLE AL-ACERO LA 56;0.018056206;RACIMO
CDO7031361;AEREO;LA-30;0.3;0.301848441;0.117089108;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.323762774;RACIMO
CDO7031369;AEREO;LA-110;0.53;0.22074905;0.261735022;350130 CABLE AL-ACERO LA 110;0.342396498;PRINCIPAL
CDO7031395;SUBTERRANEO;UNI-AL-240-RHV;0.791;0.098638624;0.082856439;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.128820673;PRINCIPAL
CDO7031405;SUBTERRANEO;UNI-AL-240-RHV;0.841;0.11309313;0.094998226;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.14769806;PRINCIPAL
CDO7031398;AEREO;LA-56;0.08;0.033102486;0.021295574;350120 CABLE AL-ACERO LA 56;0.039360844;RACIMO
CDO7031399;SUBTERRANEO;TRI-AL-150-PPV;0.612;0.1224989;0.051734973;350080 CABLE PPV 12/15 KV 3X150 AL UEFE 1.3.11.01;0.132975519;RACIMO
CDO7031402;AEREO;LA-56;0.2;0.118464202;0.076210685;350120 CABLE AL-ACERO LA 56;0.140861049;RACIMO
CDO7031359;AEREO;LA-110;0.887683896;0.272516549;0.323114067;350130 CABLE AL-ACERO LA 110;0.422691345;PRINCIPAL
CDO7031403;AEREO;LA-56;0.1;0.046703652;0.030045509;350120 CABLE AL-ACERO LA 56;0.055533446;RACIMO
CDO7031380;SUBTERRANEO;UNI-AL-240-RHV;0.809;0.103508085;0.086946785;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.135180131;PRINCIPAL
CDO7031368;AEREO;LA-30;0.660024149;0.635116458;0.246366099;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.681226194;RACIMO
CDO7031334;AEREO;LA-110;0.17;0.052775774;0.062574528;350130 CABLE AL-ACERO LA 110;0.081858747;PRINCIPAL
CDO7031408;AEREO;LA-30;0.693145816;0.781416953;0.303117067;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.838148177;RACIMO
CDO7031409;AEREO;LA-56;0.02469687;0.015163879;0.009755264;350120 CABLE AL-ACERO LA 56;0.018030763;RACIMO
CDO7031360;AEREO;LA-30;0.506918634;0.571474016;0.221678734;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.612963319;RACIMO
CDO7031374;AEREO;LA-110;1.614054379;0.495512277;0.58751291;350130 CABLE AL-ACERO LA 110;0.768572628;PRINCIPAL
CDO7031371;AEREO;LA-110;0.44;0.138413578;0.164112508;350130 CABLE AL-ACERO LA 110;0.214688689;PRINCIPAL
CDO7031404;AEREO;LA-110;1.053;0.144801363;0.171686307;350130 CABLE AL-ACERO LA 110;0.224596575;PRINCIPAL
CDO7031394;AEREO;LA-110;2.89015601;1.17530477;1.393520832;350130 CABLE AL-ACERO LA 110;1.822976112;PRINCIPAL
CDO7031364;AEREO;LA-30;0.022456407;0.024140622;0.009364315;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.025893243;RACIMO
CDO7031410;AEREO;LA-56;0.311423966;0.190101266;0.122296415;350120 CABLE AL-ACERO LA 56;0.226041824;PRINCIPAL
CDO7031341;AEREO;LA-56;0.710569288;0.436288267;0.28067404;350120 CABLE AL-ACERO LA 56;0.51877296;PRINCIPAL
CDO7031367;SUBTERRANEO;UNI-AL-240-RHZ1;0.266;0.027796522;0.023349078;330070B CABLE RHZ1 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.036301874;PRINCIPAL
CDO7031416;AEREO;LA-56;0.00709603;0.004356963;0.002802932;350120 CABLE AL-ACERO LA 56;0.00518069;RACIMO
CDO7031415;AEREO;LA-110;0.006029266;0.001850985;0.002194653;350130 CABLE AL-ACERO LA 110;0.002871;PRINCIPAL
CDO7031396;AEREO;LA-56;0.02101442;0.013717296;0.008824645;350120 CABLE AL-ACERO LA 56;0.016310688;RACIMO
CDO7031357;AEREO;LA-110;1.8;0.54637444;0.647818506;350130 CABLE AL-ACERO LA 110;0.847463191;PRINCIPAL
CDO7031420;AEREO;LA-56;0.051136103;0.048470337;0.031182056;350120 CABLE AL-ACERO LA 56;0.057634141;RACIMO
CDO7031407;AEREO;LA-56;0.117065701;0.110962965;0.071384966;350120 CABLE AL-ACERO LA 56;0.131941631;RACIMO
CDO7031401;SUBTERRANEO;UNI-AL-240-RHV;0.997293534;0.124660276;0.104714632;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.162804604;SECUNDARIO
CDO7031377;SUBTERRANEO;UNI-AL-150-RHV;0.03769377;0.007764889;0.004221688;330060A CABLE RHV 12/20 KV 1X150 KAL+H16 UEFE 1.3.13.01;0.008838334;PRINCIPAL
CDO7031278;SUBTERRANEO;UNI-AL-240-RHZ1;0.727718777;0.090964623;0.076410279;330070B CABLE RHZ1 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.118798539;SECUNDARIO
CDO7031340;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.775816085;0.096976921;0.08146061;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.126650527;SECUNDARIO
CDO7031400;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.205804952;0.025725512;0.021609429;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.033597164;SECUNDARIO
CDO7031386;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.622436338;0.077804312;0.065355621;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.101611361;RACIMO
CDO7031352;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.600617647;0.075077012;0.063064687;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.098049544;SECUNDARIO
CDO7031383;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.490479472;0.061309822;0.05150025;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.08006978;SECUNDARIO
CDO7031390;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.587368772;0.073420987;0.061673626;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.095886797;RACIMO
CDO7031382;SUBTERRANEO;UNI-AL-240-RHV;0.07309616;0.021933146;0.018423842;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.028644387;PRINCIPAL
CDO7031375;AEREO;LA-56;0.8;0.595539391;0.383123875;350120 CABLE AL-ACERO LA 56;0.708132088;PRINCIPAL
CDO7031331;AEREO;LA-56;0.2;0.143508494;0.092322238;350120 CABLE AL-ACERO LA 56;0.170640215;PRINCIPAL
CDO7031381;AEREO;LA-56;0.248553514;0.151723504;0.097607143;350120 CABLE AL-ACERO LA 56;0.180408359;PRINCIPAL
CDO7031347;SUBTERRANEO;UNI-AL-240-RHV;0.751483216;0.095813408;0.080483258;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.125130981;PRINCIPAL
CDO7031406;SUBTERRANEO;UNI-AL-150-RHV;0.067976474;0.014003071;0.00761332;330060A CABLE RHV 12/20 KV 1X150 KAL+H16 UEFE 1.3.13.01;0.015938904;PRINCIPAL
CDO7031389;AEREO;LA-30;0.09;0.102704152;0.039839655;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.110160522;RACIMO
CDO7031418;AEREO;LA-56;0.325674011;0.207224742;0.13331233;350120 CABLE AL-ACERO LA 56;0.246402651;PRINCIPAL
CDO7031397;AEREO;LA-56;0.046096729;0.029331118;0.018869366;350120 CABLE AL-ACERO LA 56;0.034876458;PRINCIPAL
CDO7031413;AEREO;LA-56;0.059;0.053458422;0.034391005;350120 CABLE AL-ACERO LA 56;0.063565277;PRINCIPAL
NBZ7080815;AEREO;LA-56;0.009333397;0.005730671;0.003686669;350120 CABLE AL-ACERO LA 56;0.006814112;RACIMO
NBZ7080803;AEREO;LA-56;0.244784663;0.162212655;0.104355045;350120 CABLE AL-ACERO LA 56;0.192880586;RACIMO
NBZ7080905;AEREO;LA-56;0.074591774;0.049430098;0.031799491;350120 CABLE AL-ACERO LA 56;0.058775354;RACIMO
NBZ7080831;AEREO;PAS-50;0.083516874;0.052030828;0.034241796;247548 CABLE FORRADO 24KV 1X50 ALM;0.062287301;SECUNDARIO
NBZ7080891;AEREO;LA-30;0.036337373;0.039062552;0.015152636;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.041898511;RACIMO
NBZ7080889;AEREO;LA-56;0.453276399;0.27831018;0.179043189;350120 CABLE AL-ACERO LA 56;0.330927521;SECUNDARIO
NBZ7080871;AEREO;LA-56;0.774294395;0.475417048;0.305846483;350120 CABLE AL-ACERO LA 56;0.565299451;RACIMO
NBZ7080879;AEREO;LA-30;0.061824016;0.0664609;0.025780644;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.071285993;RACIMO
NBZ7080904;AEREO;LA-56;0.180987607;0.111126497;0.071490176;350120 CABLE AL-ACERO LA 56;0.132136077;RACIMO
NBZ7080807;AEREO;LA-56;0.025995342;0.015961133;0.010268155;350120 CABLE AL-ACERO LA 56;0.018978747;RACIMO
